,Make,Model,Year,Style,Distance,Engine,Fuel_type,Price,km_year,Transmission,km_year_cat,mean_make_price_by_year
0,Toyota,Prius,2011,Hatchback,195000.0,1800.0,Hybrid,7750.0,17727.272727272728,Automatic,Medium,9083.448087431694
1,Renault,Grand Scenic,2014,Universal,135000.0,1500.0,Diesel,8550.0,16875.0,Manual,Medium,7494.014598540146
2,Renault,Laguna,2012,Universal,110000.0,1500.0,Diesel,6550.0,11000.0,Manual,Medium,6612.572916666667
3,Opel,Astra,2006,Universal,200000.0,1600.0,Metan/Propan,4100.0,12500.0,Manual,Medium,3609.1949152542375
4,Mercedes,Vito,2000,Microvan,300000.0,2200.0,Diesel,3490.0,13636.363636363636,Manual,Medium,4268.542857142857
5,Volkswagen,Passat,2010,Universal,290000.0,1390.0,Petrol,5600.0,24166.666666666668,Manual,Medium,7634.354497354498
6,Volkswagen,Touareg,2010,SUV,220000.0,2400.0,Diesel,17000.0,18333.33333333333,Automatic,Medium,7634.354497354498
7,Mercedes,Series (W124),1991,Sedan,240000.0,2300.0,Petrol,2850.0,7741.935483870968,Manual,Small,2472.230769230769
8,BMW,5 Series,2004,Sedan,325000.0,300.0,Diesel,3400.0,18055.555555555555,Manual,Medium,6565.737588652482
9,Mercedes,E Class,2010,Sedan,210000.0,2200.0,Diesel,11400.0,17500.0,Automatic,Medium,12290.094017094018
10,Mercedes,CLS Class,2006,Coupe,300000.0,3200.0,Diesel,11800.0,18750.0,Automatic,Medium,8511.984732824427
11,BMW,7 Series,1998,Sedan,285000.0,3500.0,Petrol,3990.0,11875.0,Manual,Medium,3740.6382978723404
12,Volkswagen,Golf,2007,Universal,238371.0,1400.0,Petrol,5000.0,15891.4,Automatic,Medium,5707.639455782313
13,Volkswagen,Golf Plus,2010,Hatchback,150000.0,1200.0,Petrol,5500.0,12500.0,Manual,Medium,7634.354497354498
14,Volvo,XC60,2012,Crossover,180000.0,2400.0,Diesel,15900.0,18000.0,Automatic,Medium,15678.108108108108
15,Nissan,Qashqai,2011,Crossover,251000.0,1500.0,Diesel,8300.0,22818.18181818182,Manual,Medium,8293.663551401869
16,Hyundai,Matrix,2005,Universal,383000.0,1500.0,Diesel,3200.0,22529.41176470588,Manual,Medium,3722.5915492957747
17,Audi,A3,2009,Hatchback,248000.0,2000.0,Diesel,9299.0,19076.92307692308,Automatic,Medium,10905.609375
18,Mercedes,E Class,2004,Universal,315000.0,1800.0,Metan/Propan,6900.0,17500.0,Manual,Medium,5684.621428571429
19,Rare,31029,1992,Sedan,68000.0,2445.0,Petrol,2222.0,2266.6666666666665,Manual,Small,2192.2
20,Renault,Megane,2011,Universal,171000.0,1500.0,Diesel,5700.0,15545.454545454546,Manual,Medium,5763.9639175257735
21,Rare,Model S,2013,Hatchback,113000.0,367.0,Electric,27000.0,12555.555555555557,Automatic,Medium,16518.577981651375
22,Mercedes,E Class,2014,Sedan,275500.0,2200.0,Diesel,18350.0,34437.5,Automatic,Large,20352.72972972973
23,Rare,MKZ,2017,Sedan,157000.0,1998.0,Hybrid,17800.0,31400.0,Automatic,Large,25647.14285714286
24,Lexus,NX Series,2017,Crossover,76000.0,1998.0,Petrol,27999.0,15200.0,Automatic,Medium,35312.92307692308
25,Rare,Caliber,2008,Hatchback,113486.0,1998.0,Metan/Propan,4495.0,8106.142857142857,Automatic,Small,5922.762376237623
26,Audi,100,1993,Sedan,235000.0,2000.0,Petrol,2950.0,8103.448275862069,Manual,Small,2319.153846153846
27,Lexus,RX Series,2009,SUV,250000.0,3500.0,Hybrid,17990.0,19230.76923076923,Automatic,Medium,14508.0
28,Volkswagen,Passat,2012,Sedan,179000.0,1400.0,Metan/Propan,9800.0,17900.0,Automatic,Medium,9214.12987012987
29,BMW,X1,2015,Crossover,169777.0,2000.0,Diesel,16888.0,24253.85714285714,Automatic,Medium,22725.268292682926
30,Mercedes,GLC Coupe,2017,Crossover,71333.0,2500.0,Diesel,43404.0,14266.6,Automatic,Medium,31642.757009345794
31,Opel,Vectra,1994,Sedan,340000.0,1800.0,Petrol,1500.0,12142.857142857143,Manual,Medium,1220.6279069767443
32,BMW,7 Series,2007,Sedan,300000.0,3000.0,Diesel,11500.0,20000.0,Automatic,Medium,8997.91304347826
33,Volkswagen,Touran,2004,Minivan,280000.0,200.0,Diesel,5300.0,15555.555555555557,Automatic,Medium,4519.829268292683
34,Volkswagen,Passat,2010,Universal,228000.0,1400.0,Metan/Propan,5700.0,19000.0,Automatic,Medium,7634.354497354498
35,Toyota,Auris,2010,Sedan,185000.0,1400.0,Diesel,6500.0,15416.666666666666,Manual,Medium,8341.671957671957
36,Nissan,Qashqai,2009,Hatchback,200415.0,1500.0,Diesel,6200.0,15416.53846153846,Manual,Medium,6488.630434782609
37,BMW,3 Series,2016,Minivan,136000.0,2000.0,Diesel,13200.0,22666.666666666668,Automatic,Medium,25874.947368421053
